,client_id,report_date,bucketRatio1,bucketRatio2,bucketRatio3,invested_amount,total_upl
0,7,2019-08-02,12.311271985753224,27.20093826912348,57.26012388041235,23527989.9416728,423782.0247000002
1,7,2019-08-09,12.3621048541893,28.72692306785049,55.52111971968219,22402300.1516728,452498.4765000001
2,7,2019-08-16,12.362104854189297,28.72692306785049,55.52111971968219,22402300.151672803,416011.7565000002
3,7,2019-08-23,12.362104854189301,28.72692306785049,55.5211197196822,22402300.1516728,424149.6465000001
4,7,2019-08-30,12.582738958334474,28.615230920756886,55.42535772928883,22489741.731672797,438017.14650000166
5,7,2019-09-06,12.582738958334474,28.615230920756886,55.42535772928881,22489741.731672797,485029.27650000167
6,7,2019-09-13,12.582738958334474,28.61523092075688,55.42535772928881,22489741.7316728,477809.3415000016
7,7,2019-09-20,13.739390188686574,31.245647252280612,50.80984348417766,20596441.7316728,498903.27150000184
8,7,2019-09-27,13.875310886098799,30.56547590207822,51.31249383961063,20394681.7316728,477953.24550000177
9,7,2019-10-04,13.785685591439753,30.597283735723863,51.36589197001181,20373480.155435514,484942.10021186544
10,7,2019-10-11,13.991943947583025,29.558895759036215,52.13441700050766,20073150.155435514,503199.6652118655
11,7,2019-10-18,12.121591909408433,30.202241727440093,53.26751317848822,19645566.65543551,503431.65521186555
12,7,2019-10-25,12.15690297298457,29.96503263827379,53.45656848225998,19588503.943435512,521256.08021186583
13,7,2019-11-01,12.112115493494276,30.319272179638055,54.386192942156754,19359638.86343551,537041.2552118658
14,7,2019-11-08,12.11277244846955,30.32091668151849,54.38371887249451,19358588.863435514,556737.4852118657
15,7,2019-11-15,10.324096983309657,27.25151070963241,58.976585714430776,17869473.923435513,537656.2852118657
16,7,2019-11-22,7.918684457877707,23.877852636964334,65.18248477969918,20394219.170535512,424523.0587118656
17,7,2019-11-29,7.833433542232145,23.62078862440276,65.55732293227652,20616168.568432495,442227.79871186556
18,7,2019-12-06,7.816410164913528,22.604356519757314,66.59727283269791,20661068.568432495,450260.9587118657
19,7,2019-12-13,7.779996261317454,22.619461180987653,66.61658947231679,20647271.668546777,465973.37256900844
20,7,2019-12-20,8.414397972551276,22.208092689495494,66.40340075376187,20715615.53854678,476501.9343690081
21,7,2019-12-27,8.37956578164626,22.116160203449525,66.54247703260225,20801726.238546774,490091.988369008
22,7,2020-01-03,8.397370649876844,21.961753196762736,66.67278595654473,20757620.528546777,499067.28336900804
23,7,2020-01-10,8.39737064987684,21.961753196762732,66.67278595654471,20757620.52854678,519772.02636900824
24,7,2020-01-17,8.397370649876844,21.961753196762746,66.67278595654473,20757620.528546773,529966.953369008
25,7,2020-01-24,8.397370649876843,21.961753196762736,66.67278595654473,20757620.528546777,542702.8683690083
26,7,2020-01-31,5.81428468822631,19.849801207156155,71.29069560499475,21708718.11273601,204316.64028293532
27,7,2020-02-07,6.07088789430861,15.299128440427538,75.44825223682679,20777300.500336014,229789.67748293525
28,7,2020-02-14,6.185846179349021,14.606446775859327,75.96572637524851,20391173.40243601,235982.1574829352
29,7,2020-02-21,6.185846179349021,14.606446775859327,75.9657263752485,20391173.402436014,244051.43748293535
30,7,2020-02-28,5.9232045028154925,15.957602302686121,75.01486212270643,21295341.40243601,107720.69748293524
31,7,2020-03-06,5.7998384304075605,15.68013149812561,75.46703301257538,21653407.69244103,173950.0474829345
32,7,2020-03-13,12.096818249335449,47.345517682092556,31.339263938930184,7171286.673425041,-224171.92506912453
33,7,2020-03-20,6.850858527850007,52.15916507411499,34.81942358419581,6509465.393427042,-387647.4750691244
34,7,2020-03-27,6.8495734170907205,52.14938085452272,34.831650410907805,6510686.693427041,-333924.3150691247
35,7,2020-04-03,7.040992445694251,50.36377597216066,36.2534255776305,6333684.7534292415,-375864.1350691245
36,7,2020-04-10,6.93812148136587,52.68974540256558,34.122982756947664,6427593.783429242,-253151.3550691245
37,7,2020-04-17,5.310074533491028,54.95948760659528,33.566247959461734,6516184.713429241,-199043.9550691245
38,7,2020-04-24,5.060178157104101,52.373049937152416,36.69267373748253,6837985.823429242,-196880.59506912454
39,7,2020-05-01,1.526950453433721,53.49716924258087,38.975702269059305,6694301.363425242,20412.524930875497
40,7,2020-05-08,1.4816917270311487,46.12556627353433,46.57040890730848,6898780.84342524,21014.68493087546
41,7,2020-05-15,1.3797209909078025,42.95118265431634,50.24745902177984,7408647.52342324,21338.92493087551
42,7,2020-05-22,1.3095646295812078,43.306819152580196,50.23765951173886,7805545.65342304,21153.644930875525
43,7,2020-05-29,1.3095646295812076,43.30681915258019,50.237659511738855,7805545.653423041,21199.96493087553
44,7,2020-06-05,1.3131899935929372,43.426708602914886,50.0998987672361,7783996.643423041,18837.644930875522
45,7,2020-06-12,1.2956413604254924,42.84638177841861,50.766731880361085,7889425.897107251,21199.96493087553
46,7,2020-06-19,1.2887914109845022,42.619856477609176,54.1790693276314,7931358.337107251,21061.00493087551
47,7,2020-06-26,1.2887914109845022,42.619856477609176,54.1790693276314,7931358.337107251,21570.5249308755
48,7,2020-07-03,1.329537350071624,41.330051640539466,55.36767022041551,7688288.337107251,21848.444930875503
49,7,2020-07-10,1.3295909605997045,41.33171817957571,55.36587052462748,7687978.337107251,22080.044930875494
50,7,2020-07-17,1.6557772390476777,37.033582640908094,58.85383114303643,6173455.137107252,22265.324930875515
51,7,2020-07-24,1.6557772390476777,37.03358264090809,58.85383114303643,6173455.137107252,22126.364930875498
52,7,2020-07-31,1.4617630757097801,35.56572654437346,60.80357571771074,6992833.977107251,22682.204930875494
