,Date,^GSPC,000001.SS,^FTSE,^GDAXI,^HSI,^TWII,^MERV,^ISEQ,^STI,^GSPTSE,^BSESN,^FCHI,^AEX,^KS11,^BVSP,^IBEX,BSX,0322.HK,^JKSE,^SET.BK,^AXJO,^BFX,^SSMI,^OMXSBCAPPI,^N225,IMOEX.ME,^ATX,^OMXHBCAPPI,^OSEAX,^N100,^BIT40P,JSE.JO
6,2019-04-09,2878.199951171875,3239.6640625,7425.60009765625,11850.5703125,30157.490234375,10851.599609375,31743.380859375,6247.91015625,3325.60009765625,16336.5,38939.21875,5436.419921875,559.6599731445312,2213.56005859375,96292.0,9407.7998046875,38.209999084472656,11.508210182189941,6484.34814453125,1657.739990234375,6221.7998046875,3790.2099609375,9582.2197265625,615.97998046875,21802.58984375,2570.280029296875,3117.010009765625,188.44000244140625,1000.5599975585938,1060.06005859375,2206.590087890625,12964.599609375
7,2019-04-10,2888.2099609375,3241.929931640625,7421.89990234375,11905.91015625,30119.560546875,10868.1396484375,32154.5390625,6241.85986328125,3327.64990234375,16396.30078125,38585.3515625,5449.8798828125,561.8499755859375,2224.389892578125,95953.0,9406.5,38.36000061035156,11.328954696655273,6478.326171875,1662.1300048828125,6223.5,3778.300048828125,9556.3095703125,620.3599853515625,21687.5703125,2578.580078125,3144.139892578125,187.82000732421875,1005.5700073242188,1063.9200439453125,2203.719970703125,12954.5068359375
8,2019-04-11,2888.320068359375,3189.9619140625,7418.0,11935.2001953125,29839.44921875,10808.76953125,31501.0390625,6280.7001953125,3330.820068359375,16399.5,38607.01171875,5485.72021484375,561.8300170898438,2224.43994140625,94755.0,9445.400390625,37.91999816894531,11.544060707092285,6410.166015625,1659.0899658203125,6198.7001953125,3807.739990234375,9549.259765625,620.0,21711.380859375,2551.449951171875,3171.25,187.9600067138672,1004.280029296875,1069.8199462890625,2207.699951171875,12845.3212890625
9,2019-04-12,2907.409912109375,3188.6259765625,7437.10009765625,11999.9296875,29909.759765625,10805.2998046875,31357.029296875,6335.7099609375,3331.97998046875,16480.5,38767.109375,5502.7001953125,561.6099853515625,2233.449951171875,92875.0,9468.5,37.72999954223633,11.346879005432129,6405.8662109375,1660.449951171875,6251.2998046875,3845.050048828125,9484.91015625,624.8599853515625,21870.560546875,2559.719970703125,3215.6298828125,188.4600067138672,1005.52001953125,1072.6300048828125,2219.25,13069.1982421875
781,2019-04-13,2907.409912109375,3188.6259765625,7437.10009765625,11999.9296875,29909.759765625,10805.2998046875,31357.029296875,6335.7099609375,3331.97998046875,16480.5,38767.109375,5502.7001953125,561.6099853515625,2233.449951171875,92875.0,9468.5,37.72999954223633,11.346879005432129,6405.8662109375,1660.449951171875,6251.2998046875,3845.050048828125,9484.91015625,624.8599853515625,21870.560546875,2559.719970703125,3215.6298828125,188.4600067138672,1005.52001953125,1072.6300048828125,2219.25,13069.1982421875
782,2019-04-14,2907.409912109375,3188.6259765625,7437.10009765625,11999.9296875,29909.759765625,10805.2998046875,31357.029296875,6335.7099609375,3331.97998046875,16480.5,38767.109375,5502.7001953125,561.6099853515625,2233.449951171875,92875.0,9468.5,37.72999954223633,11.346879005432129,6405.8662109375,1660.449951171875,6251.2998046875,3845.050048828125,9484.91015625,624.8599853515625,21870.560546875,2559.719970703125,3215.6298828125,188.4600067138672,1005.52001953125,1072.6300048828125,2219.25,13069.1982421875
10,2019-04-15,2905.580078125,3177.787109375,7436.89990234375,12020.2802734375,29810.720703125,10875.599609375,31745.5703125,6395.18017578125,3325.860107421875,16515.5,38905.83984375,5508.72998046875,562.5700073242188,2242.8798828125,93083.0,9497.099609375,37.810001373291016,11.346879005432129,6435.15087890625,1660.449951171875,6251.39990234375,3846.780029296875,9513.7099609375,624.719970703125,22169.109375,2545.1201171875,3248.830078125,187.8000030517578,1009.5599975585938,1074.31005859375,2225.260009765625,12942.5791015625
11,2019-04-16,2907.06005859375,3253.597900390625,7469.89990234375,12101.3203125,30129.869140625,10927.849609375,32290.1796875,6433.97021484375,3332.0400390625,16502.19921875,39275.640625,5528.669921875,565.1900024414062,2248.6298828125,94333.0,9497.2998046875,36.16999816894531,11.149697303771973,6481.541015625,1660.449951171875,6277.39990234375,3860.169921875,9579.849609375,626.3900146484375,22221.66015625,2559.840087890625,3266.75,187.16000366210938,1007.2899780273438,1078.1400146484375,2226.429931640625,13120.5791015625
12,2019-04-17,2900.449951171875,3263.117919921875,7471.2998046875,12153.0703125,30124.6796875,10997.259765625,32036.779296875,6488.06982421875,3348.639892578125,16544.19921875,39275.640625,5563.08984375,566.1900024414062,2245.889892578125,93285.0,9549.7998046875,34.90999984741211,11.328954696655273,6481.541015625,1673.199951171875,6256.39990234375,3846.820068359375,9596.599609375,630.2000122070312,22277.970703125,2568.260009765625,3292.340087890625,185.83999633789062,1010.72998046875,1082.199951171875,2233.070068359375,13371.0625
13,2019-04-18,2905.030029296875,3250.200927734375,7459.89990234375,12222.3896484375,29963.259765625,10962.01953125,32036.779296875,6540.14013671875,3347.580078125,16612.80078125,39140.28125,5580.3798828125,569.6099853515625,2213.77001953125,94578.0,9581.900390625,35.11000061035156,11.400655746459961,6507.22119140625,1675.0,6259.7998046875,3852.300048828125,9571.2197265625,633.4500122070312,22090.119140625,2560.800048828125,3301.3798828125,187.22999572753906,1010.72998046875,1085.969970703125,2226.97998046875,13255.4541015625
14,2019-04-19,2905.030029296875,3270.797119140625,7459.89990234375,12222.3896484375,29963.259765625,10968.5,32036.779296875,6540.14013671875,3347.580078125,16612.80078125,39140.28125,5580.3798828125,569.6099853515625,2216.14990234375,94578.0,9581.900390625,35.11000061035156,11.400655746459961,6507.22119140625,1674.0999755859375,6259.7998046875,3852.300048828125,9571.2197265625,633.4500122070312,22200.560546875,2560.800048828125,3301.3798828125,187.22999572753906,1010.72998046875,1085.969970703125,2226.97998046875,13255.4541015625
783,2019-04-20,2905.030029296875,3270.797119140625,7459.89990234375,12222.3896484375,29963.259765625,10968.5,32036.779296875,6540.14013671875,3347.580078125,16612.80078125,39140.28125,5580.3798828125,569.6099853515625,2216.14990234375,94578.0,9581.900390625,35.11000061035156,11.400655746459961,6507.22119140625,1674.0999755859375,6259.7998046875,3852.300048828125,9571.2197265625,633.4500122070312,22200.560546875,2560.800048828125,3301.3798828125,187.22999572753906,1010.72998046875,1085.969970703125,2226.97998046875,13255.4541015625
